feature,importance
hub_id,6786
lag_1,3510
hour_sin,3091
lag_24,2385
same_hour_2w_mean,2237
roll_mean_24,2214
hour,2056
day,2045
dow,2012
week,1729
roll_mean_168,1637
roll_std_168,1412
roll_std_24,1384
lag_168,1279
roll_max_24,1121
hour_cos,1021
lag_336,989
dow_cos,531
hub_avg_hourly,439
month,409
dow_sin,346
is_holiday,176
hub_dominant_segment,126
is_dead_window,82
is_payday_window,56
is_late_night,52
hub_city,38
is_evening_peak,25
is_active_window,1
is_weekend,0
hub_dominant_channel,0
hub_state,0
