feature,importance
hub_id,4527
lag_1,3225
roll_mean_24,3130
lag_24,2577
day,2528
roll_mean_168,2501
roll_std_24,2389
same_hour_2w_mean,2380
hour_sin,2149
roll_std_168,2077
hour,2011
lag_168,1850
lag_336,1772
week,1759
roll_max_24,1648
dow,1526
hour_cos,968
hub_avg_hourly,675
dow_cos,575
dow_sin,571
month,462
hub_dominant_segment,170
hub_city,113
is_holiday,111
is_payday_window,105
is_dead_window,90
is_active_window,85
is_weekend,82
is_evening_peak,71
is_late_night,60
hub_state,23
hub_dominant_channel,0
